id_ponto,latitude_wgs84,longitude_wgs84,indice_final,motivo_veto,nota_vento,nota_dist_rede,nota_declive,nota_uso_solo,nota_conservacao,vento_bruto_ms,radiacao_solar_bruta,declive_bruto_graus,solo_bruto_codigo,restricao_dados_json,dist_urbana_bruto_km,dist_rede_bruto_km,pct_intersecao_urbana
1051,-5.290214445832476,-36.80096231796539,8.39,Aprovado,8.981481481481483,9.320666666666668,7.686666666666666,6.0,10.0,6.79,5.97,3.47,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.57,10.19,0.0
1278,-6.102816282422836,-36.57210904361434,8.37,Aprovado,8.902116402116404,9.531333333333334,7.306666666666667,6.0,10.0,6.73,5.85,4.04,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",9.0,7.03,0.0
2087,-6.412548741903989,-35.4418417511707,8.37,Aprovado,9.113756613756614,5.921333333333334,7.4,10.0,10.0,6.89,5.57,3.9,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.88,61.18,0.0
1997,-6.485401942093365,-35.56623555068953,8.37,Aprovado,9.113756613756614,6.278666666666667,6.5200000000000005,10.0,10.0,6.89,5.57,5.22,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",8.78,55.82,0.0
443,-4.930511001250696,-37.478324305715965,8.36,Aprovado,9.37830687830688,8.506666666666668,7.8533333333333335,6.0,10.0,7.09,5.99,3.22,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.71,22.4,0.0
1884,-5.601536627254264,-35.71752092917242,8.36,Aprovado,9.761904761904763,7.972666666666667,7.573333333333333,6.0,10.0,7.38,5.8,3.64,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.88,30.41,0.0
2142,-6.321636340122149,-35.35223028037819,8.36,Aprovado,9.113756613756614,6.684666666666667,6.753333333333334,10.0,7.376400000000001,6.89,5.57,4.87,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 37.48, ""Nenhuma"": 62.52}",2.45,49.73,1.67
976,-5.471334848585476,-36.89052442296457,8.35,Aprovado,8.981481481481483,9.154,7.68,6.0,10.0,6.79,5.97,3.48,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.39,12.69,0.0
259,-5.7451642857263066,-37.79233884032383,8.35,Aprovado,8.320105820105821,7.892666666666667,5.453333333333333,10.0,10.0,6.29,6.02,6.82,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.08,31.61,0.0
2116,-6.41223324409094,-35.396715868937804,8.35,Aprovado,9.113756613756614,5.984,7.3,10.0,9.661900000000001,6.89,5.57,4.05,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 4.83, ""Nenhuma"": 95.17}",7.23,60.24,0.0
