id_ponto;latitude_wgs84;longitude_wgs84;vento_bruto_ms;radiacao_solar_bruta;declive_bruto_graus;solo_bruto_codigo;restricao_dados_json;dist_urbana_bruto_km;dist_rede_bruto_km;pct_intersecao_urbana
1320;-6,102610686184508;-36,52696251827528;7,31;5,85;11,51;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,02;4,67;0,0
1321;-6,147799673812003;-36,5267544493901;7,31;5,85;13,99;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,54;9,66;0,0
1322;-6,192988578152687;-36,52654481600635;7,31;5,85;7,89;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,95;8,27;0,0
1323;-6,238177398601678;-36,526333617471;7,31;5,85;5,63;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,0;3,66;32,1
1324;-6,2833661345542495;-36,52612085312607;7,33;5,85;6,45;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,57;2,9;15,54
1325;-6,32855478540584;-36,52590652230848;7,33;5,85;6,82;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,2;7,31;0,0
1326;-6,373513750880029;-36,525993855667956;7,33;5,85;16,9;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,16;12,15;0,0
1327;-6,41610714862168;-36,53207103157626;7,33;5,85;24,79;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";11,33;16,74;0,0
1328;-6,464614686511649;-36,53868835960396;7,33;5,85;20,49;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,43;22,06;0,0
1329;-6,513012519661074;-36,52830750081866;7,33;5,85;20,65;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,32;27,47;0,0
